ENCODING,OPTIMIZATIONS,SIZE,BOXRATIO,STRUCTURE,ASSIGNMENTS,ZONES,RESULT,CHOICES,CONFLICTS,RESTARTS,ATOMS,RULES,VARIABLES,CONSTRAINTS,TIME
Plain,,Large,1/4,Winkel,0,1,TIMEOUT,7594736,3899138,24,3038863,21507006,58285,339861,900s
Plain,,Large,1/5,Halle,1,0,SATISFIABLE,573500,391188,18,111968,598223,22432,116062,60.473s
Plain,,Small,1/5,Halle,1,0,SATISFIABLE,16924,9200,9,31074,126632,7955,33364,0.845s
Plain,,Large,1/5,Halle,0,1,TIMEOUT,11483837,8057473,26,353569,2092506,20834,109926,900s
Plain,,Small,1/4,Winkel,0,1,SATISFIABLE,1402432,902547,20,126758,621420,7009,34518,57.636s
Plain,,Large,1/4,Halle,0,1,TIMEOUT,10933928,7013915,25,1204136,8481040,38339,215401,900s
Plain,,Large,1/4,Winkel,0,0,TIMEOUT,9604208,6540259,25,385922,2626335,27180,158321,900s
Plain,,Large,1/3,Halle,0,0,SATISFIABLE,14206,7076,41,2261705,17095575,12305,64721,118.265s
Plain,,Small,1/4,Halle,0,0,SATISFIABLE,846275,531338,19,79222,423347,7095,35942,34.157s
Plain,,Small,1/5,Halle,1,1,SATISFIABLE,26335,11209,9,88940,404165,12710,52662,1.725s
Plain,,Small,1/3,Winkel,0,0,SATISFIABLE,81709,46627,13,46221,260625,5999,32057,2.655s
Plain,,Large,1/3,Winkel,0,0,TIMEOUT,8502563,5230647,25,1194333,9386757,47150,293852,900s
Plain,,Small,1/4,Winkel,0,0,SATISFIABLE,305693,160459,16,76624,403568,6472,33252,8.132s
Plain,,Small,1/5,Halle,0,1,SATISFIABLE,170232,104555,15,44046,208009,5078,24593,5.070s
Plain,,Large,1/5,Winkel,0,0,TIMEOUT,10831991,7450479,25,200725,1166977,18339,98671,900s
Plain,,Small,1/5,Winkel,0,0,SATISFIABLE,78275,49778,13,41057,193506,4496,22047,2.648s
Plain,,Small,1/4,Halle,0,1,SATISFIABLE,10057803,7552419,25,106918,573420,7870,39730,535.227s
Plain,,Large,1/4,Halle,0,0,TIMEOUT,10365674,7990252,26,115343,743656,15879,88905,900s
Plain,,Small,1/5,Halle,0,0,SATISFIABLE,124228,76101,14,23833,108528,3944,18936,2.970s
Plain,,Large,1/5,Halle,0,0,SATISFIABLE,902440,585820,19,52487,288273,9993,52171,46.283s
Plain,,Large,1/3,Halle,0,0,TIMEOUT,9383473,6579690,25,350420,2667654,27645,165139,900s
Plain,,Small,1/3,Halle,0,0,SATISFIABLE,322861,189671,16,56625,315069,6788,35446,10.615s
Plain,,Small,1/4,Halle,1,0,SATISFIABLE,60399,31612,12,89505,453922,13134,59969,3.810s
Plain,,Large,1/3,Halle,0,1,TIMEOUT,11068753,6302096,25,1352402,10144631,42487,249409,900s
Plain,,Small,1/3,Halle,1,0,SATISFIABLE,8618,4350,7,65556,344911,11804,56606,1.130s
Plain,,Small,1/5,Winkel,0,1,SATISFIABLE,1402432,902547,20,126758,621420,7009,34518,54.624s
